OBJECTID,DISTRICT,ID,BPDGIS_GIS,DISTRICT_,DISTRICT__,ShapeSTArea,ShapeSTLength
1,A15,A15,A,15,15,37983921.24,57616.00719
2,A7,A7,A,7,7,140115093.3,138468.2161
3,A1,A1,A,1,1,44484839.7,48957.67122
4,C6,C6,C,6,6,123691864.7,93389.51875
5,D4,D4,D,4,4,69995461.47,41016.80898
6,D14,D14,D,14,14,123625268.6,58025.03163
7,E13,E13,E,13,13,111901683.9,66958.44178
8,E5,E5,E,5,5,191621414.5,87797.65348
9,B3,B3,B,3,3,93158968.43,60468.08895
10,C11,C11,C,11,11,132918495,121141.7595
11,E18,E18,E,18,18,162732332.2,79495.01563
12,B2,B2,B,2,2,119718407.8,70547.52662
