ZIPCODE,Population,Avg. Income/H/hold,Males,Females,Total Housing units,Occupied housing units,Median Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
02026,23494,61631.00,11343,12151,8945,8687,39.6,22200,362,37,444,10,188
02108,3446,71199.00,1914,1532,2141,1893,40.5,3175,118,5,98,0,8
02109,3428,78254.00,1656,1772,2251,2039,37.9,3216,24,4,123,1,24
02110,1428,79085.00,741,687,974,916,49.3,1318,31,0,62,0,5
02111,5138,20354.00,2695,2443,2218,2048,37.1,1664,231,4,3070,2,76
02113,6401,47547.00,2892,3509,4376,4068,30.9,6172,27,9,80,4,29
02114,10868,55678.00,5571,5297,6960,6548,33,8894,731,29,884,1,122
02115,25486,28244.00,13264,12222,10838,10444,23.3,17969,2560,106,3050,33,922
02116,19682,60467.00,10011,9671,11777,10906,34.1,14437,1534,36,2963,5,336
02118,22173,38550.00,12795,9378,11223,10441,33.6,10850,5754,141,2286,21,2176
02119,23823,26120.00,10896,12927,9686,8893,31.4,2579,15096,159,165,15,4291
02120,10842,30658.00,5459,5383,4262,4060,25.9,4187,3648,72,892,9,1366
02121,25057,27211.00,11068,13989,9793,8877,28.9,1234,19380,172,109,30,2669
02122,24548,40021.00,11883,12665,8719,8278,31.3,10250,6794,99,3469,9,2491
02124,50781,36025.00,23552,27229,18228,17345,30.6,10878,30438,271,2762,25,3579
02125,33618,35513.00,16543,17075,12141,11465,30.3,11808,10531,178,3736,26,4851
02126,27815,38581.00,12696,15119,9785,9452,32.6,1639,23416,118,267,13,933
02127,29456,39625.00,13678,15778,14844,13859,34.5,25605,932,96,1126,11,1125
02128,38413,31013.00,19646,18767,15078,14326,32.6,25993,1451,170,1594,17,6635
02129,15195,55700.00,6934,8261,7755,7350,33.7,12593,722,53,754,10,776
02130,36293,46592.00,16971,19322,15436,14650,34.3,22348,5708,199,1873,15,4450
02131,32527,46722.00,15179,17348,12472,12075,35,20687,5802,119,849,17,3352
02132,24058,57197.00,11133,12925,10329,10064,41.1,21783,532,44,981,9,304
02134,21389,32145.00,11038,10351,9572,9436,25.8,14191,1212,68,3642,16,1385
02135,43887,43139.00,20884,23003,20434,20114,29.1,33768,1965,91,5218,31,1485
02136,359585,43442.00,175633,183952,155065,145669,34.8,178915,100231,1589,30249,230,31428
02139,34682,44382.00,17552,17130,14752,14191,29.5,20893,5897,115,4474,30,1392
02141,12041,40475.00,6232,5809,5928,5578,32.6,8399,1022,34,970,9,740
02142,2258,56731.00,1210,1048,964,856,26.3,1476,55,7,595,1,35
02145,,,,,,,,,,,,,
02150,35080,30161.00,17617,17463,12337,11888,31.3,20328,2544,170,1647,32,8049
02152,18303,53122.00,8608,9695,8067,7843,39.9,17286,308,30,210,8,249
02163,1191,30901.00,708,483,388,368,27.8,853,44,3,251,1,24
02199,1005,65313.00,468,537,764,726,51.7,876,19,0,68,0,25
02203,,,,,,,,,,,,,
02210,592,"86,918.00",325,267,194,187,32.1,450,48,2,55,1,12
02445,26262,73197.00,11935,14327,11241,10909,36.5,21882,843,35,2572,10,324
02446,29555,62817.00,13256,16299,14717,14258,33.1,23615,701,36,4320,6,253
02458,12150,73065.00,5632,6518,5168,5034,36.9,10791,181,10,901,5,89
02459,17856,99076.00,8485,9371,6288,6106,40.4,15713,414,14,1340,4,114
02467,11078,78007.00,4986,6092,3692,3482,30.3,9110,309,9,1301,1,96
